dia;home;away;FTHG;FTAG
08.12;Atletico-MG;Athletico-PR;1;0
08.12;Bahia;Atletico GO;2;0
08.12;Botafogo RJ;Sao Paulo;2;1
08.12;Bragantino;Criciuma;5;1
08.12;Cuiaba;Vasco;1;2
08.12;Flamengo RJ;Vitoria;2;2
08.12;Fortaleza;Internacional;3;0
08.12;Gremio;Corinthians;0;3
08.12;Juventude;Cruzeiro;0;1
08.12;Palmeiras;Fluminense;0;1
05.12;Athletico-PR;Bragantino;1;2
05.12;Fluminense;Cuiaba;1;0
04.12;Atletico GO;Fortaleza;3;1
04.12;Cruzeiro;Palmeiras;1;2
04.12;Internacional;Botafogo RJ;0;1
04.12;Criciuma;Flamengo RJ;0;3
04.12;Sao Paulo;Juventude;1;2
04.12;Vitoria;Gremio;1;1
04.12;Vasco;Atletico-MG;2;0
03.12;Corinthians;Bahia;3;0
01.12;Athletico-PR;Fluminense;1;1
01.12;Bragantino;Cruzeiro;1;1
01.12;Vitoria;Fortaleza;2;0
01.12;Flamengo RJ;Internacional;3;2
01.12;Gremio;Sao Paulo;2;1
30.11;Vasco;Atletico GO;2;2
30.11;Criciuma;Corinthians;2;4
30.11;Cuiaba;Bahia;1;2
27.11;Cruzeiro;Gremio;1;1
26.11;Atletico-MG;Juventude;2;3
26.11;Palmeiras;Botafogo RJ;1;3
26.11;Fortaleza;Flamengo RJ;0;0
26.11;Fluminense;Criciuma;0;0
24.11;Bahia;Athletico-PR;1;1
24.11;Corinthians;Vasco;3;1
24.11;Internacional;Bragantino;4;1
23.11;Sao Paulo;Atletico-MG;2;2
23.11;Atletico GO;Palmeiras;0;1
23.11;Botafogo RJ;Vitoria;1;1
23.11;Juventude;Cuiaba;1;1
22.11;Fluminense;Fortaleza;2;2
21.11;Vasco;Internacional;0;1
20.11;Atletico-MG;Botafogo RJ;0;0
20.11;Cuiaba;Flamengo RJ;1;2
20.11;Gremio;Juventude;2;2
20.11;Bahia;Palmeiras;1;2
20.11;Athletico-PR;Atletico GO;2;0
20.11;Bragantino;Sao Paulo;1;1
20.11;Criciuma;Vitoria;0;1
20.11;Corinthians;Cruzeiro;2;1
16.11;Athletico-PR;Atletico-MG;1;0
13.11;Flamengo RJ;Atletico-MG;0;0
09.11;Sao Paulo;Athletico-PR;2;1
09.11;Atletico GO;Bragantino;0;0
09.11;Cruzeiro;Criciuma;2;1
09.11;Fortaleza;Vasco;3;0
09.11;Juventude;Bahia;2;1
09.11;Botafogo RJ;Cuiaba;0;0
09.11;Vitoria;Corinthians;1;2
08.11;Palmeiras;Gremio;1;0
08.11;Internacional;Fluminense;2;0
06.11;Atletico GO;Atletico-MG;1;0
06.11;Cruzeiro;Flamengo RJ;0;1
05.11;Bahia;Sao Paulo;0;3
05.11;Botafogo RJ;Vasco;3;0
05.11;Internacional;Criciuma;2;0
04.11;Corinthians;Palmeiras;2;0
02.11;Athletico-PR;Vitoria;1;2
02.11;Juventude;Fortaleza;0;3
02.11;Bragantino;Cuiaba;0;0
01.11;Fluminense;Gremio;2;2
30.10;Internacional;Flamengo RJ;1;1
28.10;Vasco;Bahia;3;2
28.10;Cuiaba;Corinthians;0;1
26.10;Criciuma;Sao Paulo;1;1
26.10;Atletico-MG;Internacional;1;3
26.10;Bragantino;Botafogo RJ;0;1
26.10;Athletico-PR;Cruzeiro;3;0
26.10;Flamengo RJ;Juventude;4;2
26.10;Gremio;Atletico GO;3;1
26.10;Palmeiras;Fortaleza;2;2
26.10;Vitoria;Fluminense;2;1
24.10;Vasco;Cuiaba;1;0
22.10;Fluminense;Athletico-PR;1;0
20.10;Juventude;Palmeiras;3;5
19.10;Internacional;Gremio;1;0
19.10;Vitoria;Bragantino;1;0
18.10;Cruzeiro;Bahia;1;1
18.10;Botafogo RJ;Criciuma;1;1
18.10;Atletico GO;Cuiaba;0;0
17.10;Corinthians;Athletico-PR;5;2
17.10;Flamengo RJ;Fluminense;0;2
16.10;Fortaleza;Atletico-MG;1;1
16.10;Sao Paulo;Vasco;3;0
09.10;Atletico-MG;Gremio;2;1
05.10;Vasco;Juventude;1;1
05.10;Bahia;Flamengo RJ;0;2
05.10;Corinthians;Internacional;2;2
05.10;Cuiaba;Sao Paulo;2;0
05.10;Athletico-PR;Botafogo RJ;0;1
05.10;Atletico-MG;Vitoria;2;2
05.10;Bragantino;Palmeiras;0;0
04.10;Gremio;Fortaleza;3;1
03.10;Fluminense;Cruzeiro;1;0
03.10;Criciuma;Atletico GO;2;0
29.09;Flamengo RJ;Athletico-PR;1;0
29.09;Bahia;Criciuma;1;0
29.09;Cruzeiro;Vasco;1;1
29.09;Internacional;Vitoria;3;1
29.09;Atletico GO;Fluminense;1;0
29.09;Fortaleza;Cuiaba;1;0
29.09;Sao Paulo;Corinthians;3;1
29.09;Juventude;Bragantino;1;1
28.09;Botafogo RJ;Gremio;0;0
28.09;Palmeiras;Atletico-MG;2;1
25.09;Bragantino;Internacional;2;2
25.09;Gremio;Criciuma;1;2
22.09;Criciuma;Athletico-PR;0;0
22.09;Cuiaba;Cruzeiro;0;0
22.09;Gremio;Flamengo RJ;3;2
22.09;Sao Paulo;Internacional;1;3
22.09;Atletico-MG;Bragantino;3;0
22.09;Vasco;Palmeiras;0;1
21.09;Fortaleza;Bahia;4;1
21.09;Fluminense;Botafogo RJ;0;1
21.09;Corinthians;Atletico GO;3;0
21.09;Vitoria;Juventude;1;0
16.09;Internacional;Cuiaba;3;0
15.09;Bahia;Atletico-MG;3;0
15.09;Cruzeiro;Sao Paulo;0;1
15.09;Flamengo RJ;Vasco;1;1
15.09;Bragantino;Gremio;2;2
15.09;Juventude;Fluminense;2;1
15.09;Palmeiras;Criciuma;5;0
14.09;Botafogo RJ;Corinthians;2;1
14.09;Athletico-PR;Fortaleza;1;1
14.09;Atletico GO;Vitoria;0;2
11.09;Internacional;Fortaleza;2;1
05.09;Cuiaba;Juventude;0;0
01.09;Athletico-PR;Palmeiras;0;2
01.09;Bragantino;Bahia;2;1
01.09;Fluminense;Sao Paulo;2;0
01.09;Juventude;Internacional;1;3
01.09;Vitoria;Vasco;0;1
01.09;Corinthians;Flamengo RJ;2;1
01.09;Cruzeiro;Atletico GO;3;1
01.09;Gremio;Atletico-MG;2;3
31.08;Botafogo RJ;Fortaleza;2;0
31.08;Cuiaba;Criciuma;2;1
28.08;Criciuma;Bragantino;1;0
28.08;Cruzeiro;Internacional;0;0
26.08;Vasco;Athletico-PR;2;1
25.08;Flamengo RJ;Bragantino;2;1
25.08;Internacional;Cruzeiro;1;0
25.08;Sao Paulo;Vitoria;2;1
25.08;Bahia;Botafogo RJ;0;0
25.08;Criciuma;Gremio;0;1
25.08;Fortaleza;Corinthians;1;0
24.08;Atletico-MG;Fluminense;0;2
24.08;Palmeiras;Cuiaba;5;0
24.08;Atletico GO;Juventude;2;1
19.08;Vitoria;Cruzeiro;2;2
18.08;Athletico-PR;Juventude;1;2
18.08;Botafogo RJ;Flamengo RJ;4;1
18.08;Atletico GO;Internacional;1;0
18.08;Criciuma;Vasco;2;2
18.08;Palmeiras;Sao Paulo;2;1
17.08;Fluminense;Corinthians;0;0
17.08;Bragantino;Fortaleza;1;2
17.08;Atletico-MG;Cuiaba;1;1
17.08;Gremio;Bahia;0;2
14.08;Internacional;Juventude;2;1
11.08;Internacional;Athletico-PR;2;2
11.08;Bahia;Vitoria;2;0
11.08;Flamengo RJ;Palmeiras;1;1
11.08;Sao Paulo;Atletico GO;1;0
11.08;Juventude;Botafogo RJ;3;2
10.08;Corinthians;Bragantino;1;1
10.08;Cruzeiro;Atletico-MG;0;0
10.08;Vasco;Fluminense;2;0
10.08;Cuiaba;Gremio;1;3
10.08;Fortaleza;Criciuma;1;0
05.08;Cruzeiro;Fortaleza;1;2
04.08;Internacional;Palmeiras;1;1
04.08;Athletico-PR;Gremio;0;2
04.08;Corinthians;Juventude;1;1
04.08;Fluminense;Bahia;1;0
03.08;Sao Paulo;Flamengo RJ;1;0
03.08;Atletico GO;Botafogo RJ;1;4
03.08;Criciuma;Atletico-MG;2;1
03.08;Vasco;Bragantino;2;2
03.08;Vitoria;Cuiaba;1;0
28.07;Atletico-MG;Corinthians;2;1
28.07;Cuiaba;Athletico-PR;1;2
28.07;Gremio;Vasco;1;0
28.07;Flamengo RJ;Atletico GO;2;0
28.07;Bragantino;Fluminense;0;1
27.07;Botafogo RJ;Cruzeiro;0;3
27.07;Fortaleza;Sao Paulo;1;0
27.07;Bahia;Internacional;1;1
27.07;Juventude;Criciuma;1;2
27.07;Palmeiras;Vitoria;0;2
25.07;Corinthians;Gremio;2;2
24.07;Atletico GO;Bahia;1;1
24.07;Fluminense;Palmeiras;1;0
24.07;Vitoria;Flamengo RJ;1;2
24.07;Sao Paulo;Botafogo RJ;2;2
24.07;Criciuma;Fortaleza;1;1
24.07;Cruzeiro;Juventude;2;0
21.07;Cuiaba;Fluminense;0;1
21.07;Bragantino;Athletico-PR;1;0
21.07;Fortaleza;Atletico GO;3;1
21.07;Juventude;Sao Paulo;0;0
21.07;Atletico-MG;Vasco;2;0
21.07;Bahia;Corinthians;0;1
21.07;Gremio;Vitoria;2;0
20.07;Palmeiras;Cruzeiro;2;0
20.07;Botafogo RJ;Internacional;1;0
20.07;Flamengo RJ;Criciuma;2;1
17.07;Botafogo RJ;Palmeiras;1;0
17.07;Fortaleza;Vitoria;3;1
17.07;Sao Paulo;Gremio;1;0
17.07;Atletico GO;Vasco;0;1
16.07;Corinthians;Criciuma;2;1
16.07;Juventude;Atletico-MG;1;1
13.07;Bahia;Cuiaba;1;2
13.07;Cruzeiro;Bragantino;2;1
11.07;Atletico-MG;Sao Paulo;2;1
11.07;Vitoria;Botafogo RJ;0;1
11.07;Criciuma;Fluminense;1;1
11.07;Flamengo RJ;Fortaleza;1;2
11.07;Palmeiras;Atletico GO;3;1
10.07;Athletico-PR;Bahia;1;3
10.07;Vasco;Corinthians;2;0
10.07;Gremio;Cruzeiro;0;2
07.07;Botafogo RJ;Atletico-MG;3;0
07.07;Atletico GO;Athletico-PR;1;2
07.07;Palmeiras;Bahia;2;0
07.07;Vitoria;Criciuma;2;1
07.07;Internacional;Vasco;1;2
07.07;Cruzeiro;Corinthians;3;0
07.07;Fortaleza;Fluminense;1;0
07.07;Juventude;Gremio;3;0
06.07;Flamengo RJ;Cuiaba;1;1
06.07;Sao Paulo;Bragantino;2;0
04.07;Corinthians;Vitoria;3;2
04.07;Fluminense;Internacional;1;1
04.07;Bahia;Juventude;2;0
04.07;Gremio;Palmeiras;2;2
03.07;Athletico-PR;Sao Paulo;1;2
03.07;Atletico-MG;Flamengo RJ;2;4
03.07;Bragantino;Atletico GO;3;1
03.07;Criciuma;Cruzeiro;1;0
03.07;Vasco;Fortaleza;2;0
03.07;Cuiaba;Botafogo RJ;1;2
01.07;Palmeiras;Corinthians;2;0
30.06;Criciuma;Internacional;1;1
30.06;Flamengo RJ;Cruzeiro;2;1
30.06;Vitoria;Athletico-PR;0;1
30.06;Fortaleza;Juventude;2;1
30.06;Gremio;Fluminense;1;0
30.06;Sao Paulo;Bahia;3;1
30.06;Atletico-MG;Atletico GO;1;1
29.06;Cuiaba;Bragantino;1;1
29.06;Vasco;Botafogo RJ;1;1
27.06;Sao Paulo;Criciuma;2;1
27.06;Fluminense;Vitoria;0;1
26.06;Bahia;Vasco;2;1
26.06;Fortaleza;Palmeiras;3;0
26.06;Internacional;Atletico-MG;1;2
26.06;Atletico GO;Gremio;1;1
26.06;Corinthians;Cuiaba;1;1
26.06;Juventude;Flamengo RJ;2;1
26.06;Botafogo RJ;Bragantino;2;1
26.06;Cruzeiro;Athletico-PR;2;0
23.06;Atletico-MG;Fortaleza;1;1
23.06;Bragantino;Vitoria;2;1
23.06;Palmeiras;Juventude;3;1
23.06;Athletico-PR;Corinthians;1;1
23.06;Bahia;Cruzeiro;4;1
23.06;Fluminense;Flamengo RJ;0;1
22.06;Vasco;Sao Paulo;4;1
22.06;Cuiaba;Atletico GO;0;0
22.06;Gremio;Internacional;0;1
22.06;Criciuma;Botafogo RJ;2;1
20.06;Palmeiras;Bragantino;2;1
20.06;Flamengo RJ;Bahia;2;1
20.06;Vitoria;Atletico-MG;4;2
19.06;Cruzeiro;Fluminense;2;0
19.06;Internacional;Corinthians;1;0
19.06;Fortaleza;Gremio;1;0
19.06;Juventude;Vasco;2;0
19.06;Sao Paulo;Cuiaba;0;1
19.06;Atletico GO;Criciuma;1;2
19.06;Botafogo RJ;Athletico-PR;1;1
17.06;Atletico-MG;Palmeiras;0;4
16.06;Criciuma;Bahia;2;2
16.06;Cuiaba;Fortaleza;5;0
16.06;Gremio;Botafogo RJ;1;2
16.06;Vasco;Cruzeiro;0;0
16.06;Athletico-PR;Flamengo RJ;1;1
16.06;Corinthians;Sao Paulo;2;2
16.06;Vitoria;Internacional;2;1
15.06;Fluminense;Atletico GO;1;2
15.06;Bragantino;Juventude;2;1
13.06;Bahia;Fortaleza;1;0
13.06;Palmeiras;Vasco;2;0
13.06;Athletico-PR;Criciuma;3;1
13.06;Flamengo RJ;Gremio;2;1
13.06;Internacional;Sao Paulo;0;0
13.06;Cruzeiro;Cuiaba;2;1
11.06;Bragantino;Atletico-MG;1;2
11.06;Botafogo RJ;Fluminense;1;0
11.06;Atletico GO;Corinthians;2;2
11.06;Juventude;Vitoria;1;1
09.06;Criciuma;Cuiaba;2;5
05.06;Cuiaba;Vitoria;0;0
05.06;Juventude;Atletico GO;1;0
02.06;Fortaleza;Athletico-PR;1;0
02.06;Sao Paulo;Cruzeiro;2;0
02.06;Atletico-MG;Bahia;1;1
02.06;Criciuma;Palmeiras;1;2
02.06;Vasco;Flamengo RJ;1;6
01.06;Corinthians;Botafogo RJ;0;1
01.06;Cuiaba;Internacional;0;1
01.06;Fluminense;Juventude;1;1
01.06;Gremio;Bragantino;0;2
01.06;Vitoria;Atletico GO;0;2
13.05;Sao Paulo;Fluminense;2;1
12.05;Bahia;Bragantino;1;0
12.05;Vasco;Vitoria;2;1
12.05;Atletico GO;Cruzeiro;0;1
12.05;Fortaleza;Botafogo RJ;1;1
12.05;Palmeiras;Athletico-PR;0;2
11.05;Flamengo RJ;Corinthians;2;0
05.05;Botafogo RJ;Bahia;1;2
05.05;Cuiaba;Palmeiras;0;2
05.05;Athletico-PR;Vasco;1;0
05.05;Vitoria;Sao Paulo;1;3
04.05;Corinthians;Fortaleza;0;0
04.05;Bragantino;Flamengo RJ;1;1
04.05;Fluminense;Atletico-MG;2;2
29.04;Sao Paulo;Palmeiras;0;0
28.04;Internacional;Atletico GO;1;1
28.04;Fortaleza;Bragantino;1;1
28.04;Juventude;Athletico-PR;1;1
28.04;Corinthians;Fluminense;3;0
28.04;Cruzeiro;Vitoria;3;1
28.04;Flamengo RJ;Botafogo RJ;0;2
27.04;Bahia;Gremio;1;0
27.04;Cuiaba;Atletico-MG;0;3
27.04;Vasco;Criciuma;0;4
21.04;Atletico GO;Sao Paulo;0;3
21.04;Botafogo RJ;Juventude;5;1
21.04;Athletico-PR;Internacional;1;0
21.04;Palmeiras;Flamengo RJ;0;0
21.04;Vitoria;Bahia;2;2
20.04;Atletico-MG;Cruzeiro;3;0
20.04;Bragantino;Corinthians;1;0
20.04;Gremio;Cuiaba;1;0
20.04;Fluminense;Vasco;2;1
18.04;Botafogo RJ;Atletico GO;1;0
17.04;Flamengo RJ;Sao Paulo;2;1
17.04;Atletico-MG;Criciuma;1;1
17.04;Fortaleza;Cruzeiro;1;1
17.04;Juventude;Corinthians;2;0
17.04;Palmeiras;Internacional;0;1
17.04;Bragantino;Vasco;2;1
17.04;Gremio;Athletico-PR;2;0
16.04;Bahia;Fluminense;2;1
14.04;Vitoria;Palmeiras;0;1
14.04;Cruzeiro;Botafogo RJ;3;2
14.04;Athletico-PR;Cuiaba;4;0
14.04;Atletico GO;Flamengo RJ;1;2
14.04;Corinthians;Atletico-MG;0;0
14.04;Vasco;Gremio;2;1
13.04;Fluminense;Bragantino;2;2
13.04;Sao Paulo;Fortaleza;1;2
13.04;Criciuma;Juventude;1;1
13.04;Internacional;Bahia;2;1
