dia;home;away
24/05/2025;Fluminense;Vasco
24/05/2025;Sao Paulo;Mirassol
24/05/2025;Atletico-MG;Corinthians
25/05/2025;Gremio;Bahia
25/05/2025;Palmeiras;Flamengo RJ
25/05/2025;Sport Recife;Internacional
25/05/2025;Vitoria;Santos
25/05/2025;Fortaleza;Cruzeiro
26/05/2025;Bragantino;Juventude
31/05/2025;Bahia;Sao Paulo
31/05/2025;Vasco;Bragantino
01/06/2025;Mirassol;Sport Recife
01/06/2025;Juventude;Gremio
01/06/2025;Santos;Botafogo RJ
01/06/2025;Ceara;Atletico-MG
01/06/2025;Corinthians;Vitoria
01/06/2025;Flamengo RJ;Fortaleza
01/06/2025;Cruzeiro;Palmeiras
01/06/2025;Internacional;Fluminense
04/06/2025;Botafogo RJ;Ceara
11/06/2025;Botafogo RJ;Mirassol
11/06/2025;Fluminense;Ceara
11/06/2025;Palmeiras;Juventude
11/06/2025;Sport Recife;Flamengo RJ
12/06/2025;Bragantino;Bahia
12/06/2025;Vitoria;Cruzeiro
12/06/2025;Fortaleza;Santos
12/06/2025;Gremio;Corinthians
12/06/2025;Atletico-MG;Internacional
12/06/2025;Sao Paulo;Vasco
13/07/2025;Bahia;Atletico-MG
13/07/2025;Corinthians;Bragantino
13/07/2025;Cruzeiro;Gremio
13/07/2025;Flamengo RJ;Sao Paulo
13/07/2025;Fortaleza;Ceara
13/07/2025;Internacional;Vitoria
13/07/2025;Juventude;Sport Recife
13/07/2025;Mirassol;Fluminense
13/07/2025;Santos;Palmeiras
13/07/2025;Vasco;Botafogo RJ
17/07/2025;Atletico-MG;Sport Recife
17/07/2025;Bahia;Internacional
17/07/2025;Botafogo RJ;Vitoria
17/07/2025;Bragantino;Sao Paulo
17/07/2025;Ceara;Corinthians
17/07/2025;Fluminense;Cruzeiro
17/07/2025;Gremio;Fortaleza
17/07/2025;Juventude;Vasco
17/07/2025;Palmeiras;Mirassol
17/07/2025;Santos;Flamengo RJ
20/07/2025;Cruzeiro;Juventude
20/07/2025;Flamengo RJ;Fluminense
20/07/2025;Fortaleza;Bahia
20/07/2025;Internacional;Ceara
20/07/2025;Mirassol;Santos
20/07/2025;Palmeiras;Atletico-MG
20/07/2025;Sao Paulo;Corinthians
20/07/2025;Sport Recife;Botafogo RJ
20/07/2025;Vasco;Gremio
20/07/2025;Vitoria;Bragantino
24/07/2025;Atletico-MG;Fortaleza
24/07/2025;Bragantino;Flamengo RJ
24/07/2025;Ceara;Mirassol
24/07/2025;Corinthians;Cruzeiro
24/07/2025;Fluminense;Palmeiras
24/07/2025;Gremio;Botafogo RJ
24/07/2025;Juventude;Sao Paulo
24/07/2025;Santos;Internacional
24/07/2025;Vasco;Bahia
24/07/2025;Vitoria;Sport Recife
27/07/2025;Bahia;Juventude
27/07/2025;Botafogo RJ;Corinthians
27/07/2025;Cruzeiro;Ceara
27/07/2025;Flamengo RJ;Atletico-MG
27/07/2025;Fortaleza;Bragantino
27/07/2025;Internacional;Vasco
27/07/2025;Mirassol;Vitoria
27/07/2025;Palmeiras;Gremio
27/07/2025;Sao Paulo;Fluminense
27/07/2025;Sport Recife;Santos
03/08/2025;Atletico-MG;Bragantino
03/08/2025;Botafogo RJ;Cruzeiro
03/08/2025;Ceara;Flamengo RJ
03/08/2025;Corinthians;Fortaleza
03/08/2025;Fluminense;Gremio
03/08/2025;Internacional;Sao Paulo
03/08/2025;Mirassol;Vasco
03/08/2025;Santos;Juventude
03/08/2025;Sport Recife;Bahia
03/08/2025;Vitoria;Palmeiras
10/08/2025;Bahia;Fluminense
10/08/2025;Bragantino;Internacional
10/08/2025;Cruzeiro;Santos
10/08/2025;Flamengo RJ;Mirassol
10/08/2025;Fortaleza;Botafogo RJ
10/08/2025;Gremio;Sport Recife
10/08/2025;Juventude;Corinthians
10/08/2025;Palmeiras;Ceara
10/08/2025;Sao Paulo;Vitoria
10/08/2025;Vasco;Atletico-MG
17/08/2025;Atletico-MG;Gremio
17/08/2025;Botafogo RJ;Palmeiras
17/08/2025;Ceara;Bragantino
17/08/2025;Corinthians;Bahia
17/08/2025;Fluminense;Fortaleza
17/08/2025;Internacional;Flamengo RJ
17/08/2025;Mirassol;Cruzeiro
17/08/2025;Santos;Vasco
17/08/2025;Sport Recife;Sao Paulo
17/08/2025;Vitoria;Juventude
24/08/2025;Bahia;Santos
24/08/2025;Bragantino;Fluminense
24/08/2025;Cruzeiro;Internacional
24/08/2025;Flamengo RJ;Vitoria
24/08/2025;Fortaleza;Mirassol
24/08/2025;Gremio;Ceara
24/08/2025;Juventude;Botafogo RJ
24/08/2025;Palmeiras;Sport Recife
24/08/2025;Sao Paulo;Atletico-MG
24/08/2025;Vasco;Corinthians
31/08/2025;Botafogo RJ;Bragantino
31/08/2025;Ceara;Juventude
31/08/2025;Corinthians;Palmeiras
31/08/2025;Cruzeiro;Sao Paulo
31/08/2025;Flamengo RJ;Gremio
31/08/2025;Internacional;Fortaleza
31/08/2025;Mirassol;Bahia
31/08/2025;Santos;Fluminense
31/08/2025;Sport Recife;Vasco
31/08/2025;Vitoria;Atletico-MG
14/09/2025;Atletico-MG;Santos
14/09/2025;Bahia;Cruzeiro
14/09/2025;Bragantino;Sport Recife
14/09/2025;Fluminense;Corinthians
14/09/2025;Fortaleza;Vitoria
14/09/2025;Gremio;Mirassol
14/09/2025;Juventude;Flamengo RJ
14/09/2025;Palmeiras;Internacional
14/09/2025;Sao Paulo;Botafogo RJ
14/09/2025;Vasco;Ceara
21/09/2025;Botafogo RJ;Atletico-MG
21/09/2025;Ceara;Bahia
21/09/2025;Cruzeiro;Bragantino
21/09/2025;Flamengo RJ;Vasco
21/09/2025;Internacional;Gremio
21/09/2025;Mirassol;Juventude
21/09/2025;Palmeiras;Fortaleza
21/09/2025;Santos;Sao Paulo
21/09/2025;Sport Recife;Corinthians
21/09/2025;Vitoria;Fluminense
28/09/2025;Atletico-MG;Mirassol
28/09/2025;Bahia;Palmeiras
28/09/2025;Bragantino;Santos
28/09/2025;Corinthians;Flamengo RJ
28/09/2025;Fluminense;Botafogo RJ
28/09/2025;Fortaleza;Sport Recife
28/09/2025;Gremio;Vitoria
28/09/2025;Juventude;Internacional
28/09/2025;Sao Paulo;Ceara
28/09/2025;Vasco;Cruzeiro
02/10/2025;Atletico-MG;Juventude
02/10/2025;Botafogo RJ;Bahia
02/10/2025;Flamengo RJ;Cruzeiro
02/10/2025;Fortaleza;Sao Paulo
02/10/2025;Internacional;Corinthians
02/10/2025;Mirassol;Bragantino
02/10/2025;Palmeiras;Vasco
02/10/2025;Santos;Gremio
02/10/2025;Sport Recife;Fluminense
02/10/2025;Vitoria;Ceara
16/10/2025;Bahia;Flamengo RJ
16/10/2025;Bragantino;Gremio
16/10/2025;Ceara;Santos
16/10/2025;Corinthians;Mirassol
16/10/2025;Cruzeiro;Sport Recife
16/10/2025;Fluminense;Atletico-MG
16/10/2025;Internacional;Botafogo RJ
16/10/2025;Juventude;Fortaleza
16/10/2025;Sao Paulo;Palmeiras
16/10/2025;Vasco;Vitoria
26/10/2025;Atletico-MG;Cruzeiro
26/10/2025;Botafogo RJ;Flamengo RJ
26/10/2025;Fluminense;Juventude
26/10/2025;Fortaleza;Vasco
26/10/2025;Gremio;Sao Paulo
26/10/2025;Mirassol;Internacional
26/10/2025;Palmeiras;Bragantino
26/10/2025;Santos;Corinthians
26/10/2025;Sport Recife;Ceara
26/10/2025;Vitoria;Bahia
05/11/2025;Bahia;Gremio
05/11/2025;Ceara;Botafogo RJ
05/11/2025;Corinthians;Atletico-MG
05/11/2025;Cruzeiro;Fortaleza
05/11/2025;Flamengo RJ;Palmeiras
05/11/2025;Internacional;Sport Recife
05/11/2025;Juventude;Bragantino
05/11/2025;Mirassol;Sao Paulo
05/11/2025;Santos;Vitoria
05/11/2025;Vasco;Fluminense
19/11/2025;Atletico-MG;Ceara
19/11/2025;Botafogo RJ;Santos
19/11/2025;Bragantino;Vasco
19/11/2025;Fluminense;Internacional
19/11/2025;Fortaleza;Flamengo RJ
19/11/2025;Gremio;Juventude
19/11/2025;Palmeiras;Cruzeiro
19/11/2025;Sao Paulo;Bahia
19/11/2025;Sport Recife;Mirassol
19/11/2025;Vitoria;Corinthians
23/11/2025;Bahia;Bragantino
23/11/2025;Ceara;Fluminense
23/11/2025;Corinthians;Gremio
23/11/2025;Cruzeiro;Vitoria
23/11/2025;Flamengo RJ;Sport Recife
23/11/2025;Internacional;Atletico-MG
23/11/2025;Juventude;Palmeiras
23/11/2025;Mirassol;Botafogo RJ
23/11/2025;Santos;Fortaleza
23/11/2025;Vasco;Sao Paulo
30/11/2025;Atletico-MG;Bahia
30/11/2025;Botafogo RJ;Vasco
30/11/2025;Bragantino;Corinthians
30/11/2025;Ceara;Fortaleza
30/11/2025;Fluminense;Mirassol
30/11/2025;Gremio;Cruzeiro
30/11/2025;Palmeiras;Santos
30/11/2025;Sao Paulo;Flamengo RJ
30/11/2025;Sport Recife;Juventude
30/11/2025;Vitoria;Internacional
04/12/2025;Corinthians;Ceara
04/12/2025;Cruzeiro;Fluminense
04/12/2025;Flamengo RJ;Santos
04/12/2025;Fortaleza;Gremio
04/12/2025;Internacional;Bahia
04/12/2025;Mirassol;Palmeiras
04/12/2025;Sao Paulo;Bragantino
04/12/2025;Sport Recife;Atletico-MG
04/12/2025;Vasco;Juventude
04/12/2025;Vitoria;Botafogo RJ
07/12/2025;Atletico-MG;Palmeiras
07/12/2025;Bahia;Fortaleza
07/12/2025;Botafogo RJ;Sport Recife
07/12/2025;Bragantino;Vitoria
07/12/2025;Ceara;Internacional
07/12/2025;Corinthians;Sao Paulo
07/12/2025;Fluminense;Flamengo RJ
07/12/2025;Gremio;Vasco
07/12/2025;Juventude;Cruzeiro
07/12/2025;Santos;Mirassol
11/12/2025;Bahia;Vasco
11/12/2025;Botafogo RJ;Gremio
11/12/2025;Cruzeiro;Corinthians
11/12/2025;Flamengo RJ;Bragantino
11/12/2025;Fortaleza;Atletico-MG
11/12/2025;Internacional;Santos
11/12/2025;Mirassol;Ceara
11/12/2025;Palmeiras;Fluminense
11/12/2025;Sao Paulo;Juventude
11/12/2025;Sport Recife;Vitoria
14/12/2025;Atletico-MG;Flamengo RJ
14/12/2025;Bragantino;Fortaleza
14/12/2025;Ceara;Cruzeiro
14/12/2025;Corinthians;Botafogo RJ
14/12/2025;Fluminense;Sao Paulo
14/12/2025;Gremio;Palmeiras
14/12/2025;Juventude;Bahia
14/12/2025;Santos;Sport Recife
14/12/2025;Vasco;Internacional
14/12/2025;Vitoria;Mirassol
18/12/2025;Bahia;Sport Recife
18/12/2025;Bragantino;Atletico-MG
18/12/2025;Cruzeiro;Botafogo RJ
18/12/2025;Flamengo RJ;Ceara
18/12/2025;Fortaleza;Corinthians
18/12/2025;Gremio;Fluminense
18/12/2025;Juventude;Santos
18/12/2025;Palmeiras;Vitoria
18/12/2025;Sao Paulo;Internacional
18/12/2025;Vasco;Mirassol
21/12/2025;Atletico-MG;Vasco
21/12/2025;Botafogo RJ;Fortaleza
21/12/2025;Ceara;Palmeiras
21/12/2025;Corinthians;Juventude
21/12/2025;Fluminense;Bahia
21/12/2025;Internacional;Bragantino
21/12/2025;Mirassol;Flamengo RJ
21/12/2025;Santos;Cruzeiro
21/12/2025;Sport Recife;Gremio
21/12/2025;Vitoria;Sao Paulo
